date,sweep_et,choch_et,side,pool_level,sweep_extreme,fvg_low,fvg_high,entry,stop,target,risk_points,planned_contracts,contracts,filled,fill_et,exit_et,exit_reason,r_multiple,net_pnl
2026-05-08,10:01,10:31,SHORT,29111.25,29166.0,29114.5,29122.5,29118.5,29167.0,29070.0,48.5,5,5,True,10:32,10:58,stop,-1.005,-493.7
2026-05-11,10:29,10:48,LONG,29281.5,29246.75,29287.25,29295.75,29291.5,29245.75,29337.25,45.75,5,0,False,,,expired,,
2026-05-12,09:41,09:57,SHORT,29237.0,29296.0,29204.0,29222.25,29213.12,29297.0,29129.25,83.88,2,2,True,10:19,10:28,target,1.0,333.02
2026-05-13,09:53,10:14,LONG,29180.5,29112.0,29193.75,29196.5,29195.12,29111.0,29279.25,84.12,2,2,True,10:14,10:35,target,1.0,334.02
2026-05-14,10:40,11:00,SHORT,29684.75,29730.0,29686.0,29690.25,29688.12,29731.0,29645.25,42.88,5,5,True,11:01,11:14,stop,-1.006,-437.45
2026-05-15,09:47,09:55,LONG,29142.5,29089.75,29200.0,29205.25,29202.62,29088.75,29316.5,113.88,2,2,True,09:58,10:15,target,1.0,453.02
2026-05-18,09:47,10:16,LONG,29160.0,29129.0,29183.75,29207.0,29195.38,29128.0,29262.75,67.38,3,3,True,10:25,10:30,stop,-1.004,-409.47
2026-05-19,09:30,09:43,SHORT,28937.75,29068.0,28965.5,28980.5,28973.0,29069.0,28877.0,96.0,2,2,True,09:48,10:02,target,1.0,381.52
2026-05-20,09:45,09:56,SHORT,29154.5,29194.75,29097.0,29119.25,29108.12,29195.75,29020.5,87.62,2,2,True,10:00,10:12,target,1.0,348.02
2026-05-21,09:52,10:14,SHORT,29268.5,29340.0,29293.0,29299.25,29296.12,29341.0,29251.25,44.88,5,5,True,10:14,10:14,target,1.0,442.55
2026-05-22,10:08,10:37,LONG,29548.5,29490.25,29580.25,29587.75,29584.0,29489.25,29678.75,94.75,2,2,True,15:16,16:00,time_exit,-0.303,-117.48
2026-05-25,10:30,10:49,LONG,29939.75,29910.0,29917.25,29923.25,29920.25,29909.0,29931.5,11.25,22,22,True,11:40,11:42,target,1.0,467.72
2026-05-26,12:36,12:49,SHORT,30007.5,30012.0,29968.5,29970.5,29969.5,30013.0,29926.0,43.5,5,5,True,12:54,13:49,stop,-1.006,-443.7
2026-05-27,12:25,12:53,SHORT,30001.75,30048.25,30032.0,30034.5,30033.25,30049.25,30017.25,16.0,15,15,True,14:23,14:27,stop,-1.016,-506.1
2026-05-28,11:23,11:44,SHORT,30244.0,30293.0,30275.75,30278.25,30277.0,30294.0,30260.0,17.0,14,14,True,11:51,11:54,target,1.0,458.64
2026-05-29,09:45,10:09,SHORT,30462.0,30536.0,30516.25,30518.25,30517.25,30537.0,30497.5,19.75,12,0,False,,,expired,,
2026-06-01,11:14,11:41,SHORT,30447.25,30554.25,30541.5,30542.0,30541.75,30555.25,30528.25,13.5,18,18,True,11:42,11:47,target,1.0,463.68
2026-06-02,09:33,09:59,LONG,30481.25,30423.75,30527.25,30529.0,30528.12,30422.75,30633.5,105.38,2,0,False,,,expired,,
2026-06-03,09:38,10:03,LONG,30700.0,30496.0,30585.5,30592.25,30588.88,30495.0,30682.75,93.88,2,2,True,11:45,15:39,target,1.0,373.02
2026-06-04,10:08,10:16,LONG,30187.75,30168.5,30275.25,30277.75,30276.5,30167.5,30385.5,109.0,2,2,True,10:17,11:05,target,1.0,433.52
2026-06-05,10:00,10:09,LONG,29771.0,29758.0,29790.25,29798.0,29794.12,29757.0,29831.25,37.12,6,6,True,11:02,11:12,stop,-1.007,-455.94
2026-06-08,09:40,10:10,LONG,29456.0,29331.5,29371.25,29399.0,29385.12,29330.5,29439.75,54.62,4,4,True,10:15,10:15,target,1.0,432.04
2026-06-09,09:54,10:01,SHORT,29769.5,29783.75,29673.0,29691.0,29682.0,29784.75,29579.25,102.75,2,2,True,10:01,10:10,target,1.0,408.52
2026-06-10,10:35,10:45,SHORT,29231.0,29250.0,29157.5,29176.25,29166.88,29251.0,29082.75,84.12,2,0,False,,,expired,,
2026-06-11,09:49,10:10,SHORT,28827.5,29049.5,28944.25,28966.25,28955.25,29050.5,28860.0,95.25,2,2,True,10:10,10:11,target,1.0,378.52
2026-06-12,10:03,10:24,SHORT,29502.0,29627.25,29566.5,29580.5,29573.5,29628.25,29518.75,54.75,4,4,True,10:35,10:40,target,1.0,433.04
2026-06-15,09:58,10:14,SHORT,30430.0,30462.0,30413.5,30425.75,30419.62,30463.0,30376.25,43.38,5,5,True,10:14,10:22,target,1.0,427.55
2026-06-16,09:52,09:58,SHORT,30552.0,30580.75,30557.0,30558.5,30557.75,30581.75,30533.75,24.0,10,0,False,,,expired,,
2026-06-17,09:32,09:43,LONG,30461.75,30398.25,30445.0,30460.5,30452.75,30397.25,30508.25,55.5,4,4,True,09:49,09:57,stop,-1.005,-450.96
2026-06-18,09:35,09:50,LONG,30458.0,30391.0,30434.5,30438.0,30436.25,30390.0,30482.5,46.25,5,5,True,09:57,10:00,target,1.0,456.3
2026-06-19,09:36,10:03,SHORT,30670.0,30695.75,30668.5,30680.25,30674.38,30696.75,30652.0,22.38,11,11,True,10:03,10:16,target,1.0,478.61
2026-06-22,09:35,09:58,LONG,30796.25,30763.0,30866.75,30891.25,30879.0,30762.0,30996.0,117.0,2,2,True,10:16,10:27,stop,-1.002,-471.48
2026-06-23,12:05,12:21,SHORT,29886.25,29915.75,29866.0,29873.25,29869.62,29916.75,29822.5,47.12,5,5,True,12:22,13:02,target,1.0,465.05
2026-06-24,09:32,09:51,LONG,29692.5,29562.25,29655.5,29657.25,29656.38,29561.25,29751.5,95.12,2,2,True,10:00,10:20,stop,-1.003,-383.98
2026-06-25,12:07,12:32,SHORT,29761.5,29872.0,29774.25,29787.5,29780.88,29873.0,29688.75,92.12,2,2,True,13:15,13:20,target,1.0,366.02
2026-06-26,10:16,10:33,SHORT,29604.5,29665.25,29558.75,29566.75,29562.75,29666.25,29459.25,103.5,2,2,True,10:33,10:40,target,1.0,411.52
2026-06-29,09:32,09:56,SHORT,29733.25,29840.0,29776.0,29800.25,29788.12,29841.0,29735.25,52.88,4,4,True,11:30,11:35,target,1.0,418.04
2026-06-30,10:25,10:43,SHORT,30393.75,30442.5,30389.5,30398.0,30393.75,30443.5,30344.0,49.75,5,5,True,10:44,10:52,target,1.0,491.3
2026-07-01,11:21,11:48,SHORT,30314.75,30356.5,30295.5,30303.25,30299.38,30357.5,30241.25,58.12,4,0,False,,,expired,,
2026-07-02,10:00,10:09,SHORT,30263.0,30293.5,30249.25,30254.5,30251.88,30294.5,30209.25,42.62,5,5,True,10:13,10:15,target,1.0,420.05
2026-07-03,09:41,10:11,SHORT,29924.25,29946.25,29921.25,29922.0,29921.62,29947.25,29896.0,25.62,9,9,True,10:17,10:21,target,1.0,450.09
2026-07-06,11:17,11:27,LONG,29959.0,29941.25,30008.5,30011.75,30010.12,29940.25,30080.0,69.88,3,3,True,12:38,13:30,stop,-1.004,-424.47
2026-07-07,12:19,12:34,SHORT,29473.75,29558.25,29536.75,29537.5,29537.12,29559.25,29515.0,22.12,11,11,True,12:34,12:34,target,1.0,473.11
2026-07-08,09:45,10:11,SHORT,29385.0,29399.0,29325.5,29340.5,29333.0,29400.0,29266.0,67.0,3,3,True,10:21,10:27,target,1.0,398.28
2026-07-09,09:48,10:07,SHORT,29871.25,29931.25,29845.25,29870.25,29857.75,29932.25,29783.25,74.5,3,3,True,10:07,10:15,target,1.0,443.28
2026-07-10,09:40,10:08,SHORT,29860.75,29968.5,29938.0,29939.0,29938.5,29969.5,29907.5,31.0,8,8,True,10:08,10:08,target,1.0,486.08
2026-07-13,09:30,09:59,LONG,29655.5,29518.0,29570.0,29584.25,29577.12,29517.0,29637.25,60.12,4,4,True,10:05,10:10,target,1.0,476.04
2026-07-14,10:07,10:23,LONG,29685.0,29567.5,29661.25,29668.0,29664.62,29566.5,29762.75,98.12,2,2,True,10:24,10:34,target,1.0,390.02
2026-07-15,09:38,10:07,LONG,29856.5,29754.5,29824.25,29833.0,29828.62,29753.5,29903.75,75.12,3,3,True,10:14,10:20,stop,-1.003,-455.97
2026-07-16,13:46,14:12,LONG,29230.0,29219.0,29248.5,29249.25,29248.88,29218.0,29279.75,30.88,8,8,True,14:13,14:15,stop,-1.008,-507.92
2026-07-17,10:40,10:52,SHORT,28887.5,28896.0,28841.75,28853.5,28847.62,28897.0,28798.25,49.38,5,5,True,11:53,11:55,stop,-1.005,-502.45
2026-07-20,09:30,09:50,SHORT,29060.0,29192.5,29160.75,29169.25,29165.0,29193.5,29136.5,28.5,8,0,False,,,expired,,
2026-07-21,09:49,10:19,LONG,29129.5,29064.25,29088.75,29101.0,29094.88,29063.25,29126.5,31.62,7,0,False,,,expired,,
